ts,id,T,P
1.195,BARO0,31.48,99756
1.205,BARO0,31.49,99746
1.215,BARO0,31.48,99770
1.225,BARO0,31.48,99741
1.235,BARO0,31.48,99740
1.245,BARO0,31.49,99729
1.255,BARO0,31.5,99734
1.265,BARO0,31.48,99708
1.275,BARO0,31.48,99711
1.285,BARO0,31.48,99726
1.295,BARO0,31.48,99706
1.305,BARO0,31.48,99709
1.315,BARO0,31.49,99678
1.325,BARO0,31.48,99663
1.335,BARO0,31.48,99674
1.345,BARO0,31.48,99644
1.355,BARO0,31.48,99672
1.365,BARO0,31.48,99646
1.375,BARO0,31.48,99653
1.385,BARO0,31.48,99650
1.395,BARO0,31.49,99634
1.405,BARO0,31.48,99586
1.415,BARO0,31.49,99610
1.425,BARO0,31.47,99609
1.435,BARO0,31.47,99595
1.445,BARO0,31.48,99575
1.455,BARO0,31.49,99574
1.465,BARO0,31.48,99600
1.475,BARO0,31.48,99558
1.485,BARO0,31.48,99557
1.495,BARO0,31.48,99558
1.505,BARO0,31.49,99555
1.515,BARO0,31.49,99526
1.525,BARO0,31.46,99523
1.535,BARO0,31.48,99492
1.545,BARO0,31.49,99499
1.555,BARO0,31.49,99479
1.565,BARO0,31.48,99476
1.575,BARO0,31.48,99472
1.585,BARO0,31.48,99463
1.595,BARO0,31.48,99466
1.605,BARO0,31.48,99446
1.615,BARO0,31.49,99468
1.625,BARO0,31.47,99454
1.635,BARO0,31.48,99435
1.645,BARO0,31.5,99444
1.655,BARO0,31.49,99418
1.665,BARO0,31.48,99423
1.675,BARO0,31.48,99420
1.685,BARO0,31.48,99399
1.695,BARO0,31.48,99424
1.705,BARO0,31.49,99377
1.715,BARO0,31.48,99378
1.725,BARO0,31.5,99356
1.735,BARO0,31.48,99380
1.745,BARO0,31.5,99401
1.755,BARO0,31.49,99351
1.765,BARO0,31.47,99339
1.775,BARO0,31.48,99353
1.785,BARO0,31.49,99328
1.795,BARO0,31.48,99322
1.805,BARO0,31.49,99318
1.815,BARO0,31.46,99313
1.825,BARO0,31.48,99290
1.835,BARO0,31.5,99310
1.845,BARO0,31.49,99262
1.855,BARO0,31.47,99241
1.865,BARO0,31.47,99225
1.875,BARO0,31.48,99226
1.885,BARO0,31.48,99202
1.895,BARO0,31.48,99194
1.905,BARO0,31.48,99191
1.915,BARO0,31.5,99196
1.925,BARO0,31.48,99134
1.935,BARO0,31.5,99160
1.945,BARO0,31.48,99145
1.955,BARO0,31.48,99144
1.965,BARO0,31.5,99099
1.975,BARO0,31.49,99103
1.985,BARO0,31.49,99099
1.995,BARO0,31.49,99079
2.005,BARO0,31.48,99042
2.015,BARO0,31.48,99065
2.025,BARO0,31.49,99061
2.035,BARO0,31.48,99038
2.045,BARO0,31.48,99011
2.055,BARO0,31.49,98988
2.065,BARO0,31.49,98991
2.075,BARO0,31.49,98998
2.085,BARO0,31.49,99008
2.095,BARO0,31.48,99001
2.105,BARO0,31.49,98974
2.115,BARO0,31.48,99005
2.125,BARO0,31.49,98953
2.135,BARO0,31.49,98958
2.145,BARO0,31.49,98961
2.155,BARO0,31.49,98964
2.165,BARO0,31.49,98946
2.175,BARO0,31.49,98915
2.185,BARO0,31.49,98928
2.195,BARO0,31.48,98905
2.205,BARO0,31.48,98892
2.215,BARO0,31.48,98889
2.225,BARO0,31.49,98868
2.235,BARO0,31.48,98872
2.245,BARO0,31.48,98873
2.255,BARO0,31.46,98838
2.265,BARO0,31.49,98823
2.275,BARO0,31.49,98821
2.285,BARO0,31.49,98794
2.295,BARO0,31.48,98780
2.305,BARO0,31.49,98770
2.315,BARO0,31.48,98769
2.325,BARO0,31.49,98746
2.335,BARO0,31.49,98747
2.345,BARO0,31.49,98741
2.355,BARO0,31.5,98735
2.365,BARO0,31.49,98690
2.375,BARO0,31.49,98669
2.385,BARO0,31.48,98658
2.395,BARO0,31.49,98660
2.405,BARO0,31.5,98623
2.415,BARO0,31.49,98644
2.425,BARO0,31.47,98628
2.435,BARO0,31.49,98612
2.445,BARO0,31.49,98587
2.455,BARO0,31.48,98532
2.465,BARO0,31.49,98563
2.475,BARO0,31.49,98545
2.485,BARO0,31.49,98557
2.495,BARO0,31.49,98530
2.505,BARO0,31.5,98514
2.515,BARO0,31.48,98529
2.525,BARO0,31.49,98534
2.535,BARO0,31.48,98498
2.545,BARO0,31.48,98496
2.555,BARO0,31.49,98482
2.565,BARO0,31.48,98453
2.575,BARO0,31.48,98457
2.585,BARO0,31.49,98450
2.595,BARO0,31.48,98437
