ts,id,T,P
1.195,BARO0,31.17,99369
1.205,BARO0,31.17,99346
1.215,BARO0,31.17,99311
1.225,BARO0,31.15,99307
1.235,BARO0,31.16,99289
1.245,BARO0,31.14,99260
1.255,BARO0,31.14,99232
1.265,BARO0,31.17,99241
1.275,BARO0,31.17,99223
1.285,BARO0,31.15,99203
1.295,BARO0,31.15,99183
1.305,BARO0,31.16,99217
1.315,BARO0,31.16,99205
1.325,BARO0,31.16,99192
1.335,BARO0,31.16,99216
1.345,BARO0,31.16,99199
1.355,BARO0,31.17,99195
1.365,BARO0,31.15,99163
1.375,BARO0,31.13,99138
1.385,BARO0,31.17,99166
1.395,BARO0,31.14,99166
1.405,BARO0,31.15,99127
1.415,BARO0,31.16,99117
1.425,BARO0,31.15,99102
1.435,BARO0,31.16,99072
1.445,BARO0,31.16,99050
1.455,BARO0,31.17,99047
1.465,BARO0,31.16,98999
1.475,BARO0,31.14,98968
1.485,BARO0,31.15,98961
1.495,BARO0,31.14,98952
1.505,BARO0,31.15,98915
1.515,BARO0,31.15,98907
1.525,BARO0,31.16,98901
1.535,BARO0,31.15,98881
1.545,BARO0,31.16,98899
1.555,BARO0,31.16,98885
1.565,BARO0,31.14,98873
1.575,BARO0,31.15,98900
1.585,BARO0,31.18,98906
1.595,BARO0,31.15,98899
1.605,BARO0,31.15,98945
1.615,BARO0,31.16,98686
1.625,BARO0,31.16,98515
1.635,BARO0,31.16,98364
1.645,BARO0,31.16,98287
1.655,BARO0,31.16,98239
1.665,BARO0,31.15,98183
1.675,BARO0,31.16,98118
1.685,BARO0,31.16,98089
1.695,BARO0,31.17,97926
1.705,BARO0,31.16,97612
1.715,BARO0,31.15,97397
1.725,BARO0,31.15,97261
1.735,BARO0,31.15,97139
1.745,BARO0,31.15,97067
1.755,BARO0,31.17,97015
1.765,BARO0,31.15,97023
1.775,BARO0,31.16,97016
1.785,BARO0,31.13,96989
1.795,BARO0,31.16,96981
1.805,BARO0,31.15,96944
1.815,BARO0,31.14,96961
1.825,BARO0,31.15,96975
1.835,BARO0,31.15,96968
1.845,BARO0,31.16,97005
1.855,BARO0,31.14,97014
1.865,BARO0,31.15,97030
1.875,BARO0,31.15,96994
1.885,BARO0,31.14,96981
1.895,BARO0,31.15,96979
1.905,BARO0,31.14,96978
1.915,BARO0,31.14,96979
1.925,BARO0,31.14,97000
1.935,BARO0,31.14,96984
1.945,BARO0,31.14,96976
1.955,BARO0,31.14,96975
1.965,BARO0,31.14,96968
1.975,BARO0,31.13,96935
1.985,BARO0,31.11,96918
1.995,BARO0,31.15,96862
2.005,BARO0,31.16,96850
2.015,BARO0,31.14,96808
2.025,BARO0,31.14,96735
2.035,BARO0,31.13,96730
2.045,BARO0,31.15,96698
2.055,BARO0,31.12,96692
2.065,BARO0,31.13,96668
2.075,BARO0,31.15,96594
2.085,BARO0,31.15,96584
2.095,BARO0,31.14,96554
2.105,BARO0,31.12,96530
2.115,BARO0,31.13,96450
2.125,BARO0,31.13,96397
2.135,BARO0,31.13,96339
2.145,BARO0,31.13,96292
2.155,BARO0,31.11,96243
2.165,BARO0,31.11,96194
2.175,BARO0,31.13,96208
2.185,BARO0,31.11,96272
2.195,BARO0,31.11,96416
2.205,BARO0,31.13,96543
2.215,BARO0,31.12,96582
2.225,BARO0,31.12,96628
2.235,BARO0,31.12,96617
2.245,BARO0,31.13,96582
2.255,BARO0,31.13,96527
2.265,BARO0,31.11,96415
2.275,BARO0,31.11,96330
2.285,BARO0,31.12,96289
2.295,BARO0,31.13,96248
2.305,BARO0,31.13,96537
2.315,BARO0,31.11,97035
2.325,BARO0,31.12,96996
2.335,BARO0,31.11,96970
2.345,BARO0,31.12,96945
2.355,BARO0,31.11,97050
2.365,BARO0,31.11,96973
2.375,BARO0,31.11,96877
2.385,BARO0,31.1,96783
2.395,BARO0,31.12,96730
2.405,BARO0,31.12,96626
2.415,BARO0,31.11,96491
2.425,BARO0,31.11,96382
2.435,BARO0,31.12,96267
2.445,BARO0,31.12,96268
2.455,BARO0,31.11,96313
2.465,BARO0,31.11,96272
2.475,BARO0,31.09,96240
2.485,BARO0,31.11,96335
2.495,BARO0,31.09,96206
2.505,BARO0,31.11,96167
2.515,BARO0,31.11,96129
2.525,BARO0,31.11,96061
2.535,BARO0,31.1,96014
2.545,BARO0,31.1,95966
2.555,BARO0,31.09,95903
2.565,BARO0,31.11,95872
2.575,BARO0,31.1,95831
2.585,BARO0,31.1,95770
2.595,BARO0,31.11,95710
2.605,BARO0,31.11,95676
2.615,BARO0,31.1,95620
2.625,BARO0,31.1,95586
2.635,BARO0,31.11,95527
2.645,BARO0,31.1,95496
2.655,BARO0,31.09,95451
2.665,BARO0,31.12,95406
2.675,BARO0,31.09,95339
2.685,BARO0,31.11,95311
2.695,BARO0,31.1,95258
2.705,BARO0,31.09,95203
2.715,BARO0,31.09,95174
2.725,BARO0,31.1,95158
2.735,BARO0,31.09,95121
2.745,BARO0,31.08,95059
2.755,BARO0,31.09,95016
2.765,BARO0,31.11,94978
2.775,BARO0,31.1,94944
2.785,BARO0,31.11,94919
2.795,BARO0,31.1,94857
2.805,BARO0,31.1,94837
2.815,BARO0,31.1,94791
2.825,BARO0,31.09,94754
2.835,BARO0,31.1,94698
2.845,BARO0,31.1,94671
2.855,BARO0,31.08,94646
2.865,BARO0,31.11,94597
2.875,BARO0,31.08,94537
2.885,BARO0,31.09,94520
2.895,BARO0,31.1,94485
2.905,BARO0,31.08,94428
2.915,BARO0,31.09,94395
2.925,BARO0,31.09,94338
2.935,BARO0,31.1,94340
2.945,BARO0,31.07,94260
2.955,BARO0,31.08,94230
2.965,BARO0,31.09,94219
2.975,BARO0,31.09,94131
2.985,BARO0,31.06,94108
2.995,BARO0,31.08,94062
3.005,BARO0,31.09,94026
3.015,BARO0,31.09,93995
3.025,BARO0,31.1,93949
3.035,BARO0,31.09,93896
3.045,BARO0,31.09,93880
3.055,BARO0,31.1,93829
3.065,BARO0,31.09,93773
3.075,BARO0,31.09,93736
3.085,BARO0,31.08,93709
3.095,BARO0,31.1,93645
3.105,BARO0,31.1,93608
3.115,BARO0,31.09,93577
3.125,BARO0,31.09,93522
3.135,BARO0,31.08,93479
3.145,BARO0,31.08,93434
3.155,BARO0,31.09,93406
3.165,BARO0,31.06,93391
3.175,BARO0,31.08,93341
3.185,BARO0,31.11,93329
3.195,BARO0,31.08,93285
3.205,BARO0,31.08,93231
3.215,BARO0,31.08,93201
3.225,BARO0,31.09,93159
3.235,BARO0,31.08,93123
3.245,BARO0,31.08,93091
3.255,BARO0,31.08,93064
3.265,BARO0,31.08,93007
3.275,BARO0,31.1,92968
3.285,BARO0,31.12,92961
3.295,BARO0,31.09,92885
3.305,BARO0,31.08,92847
3.315,BARO0,31.08,92830
3.325,BARO0,31.09,92778
3.335,BARO0,31.08,92745
3.345,BARO0,31.06,92699
3.355,BARO0,31.09,92656
3.365,BARO0,31.08,92627
3.375,BARO0,31.08,92569
3.385,BARO0,31.1,92534
3.395,BARO0,31.1,92501
3.405,BARO0,31.07,92444
3.415,BARO0,31.08,92420
3.425,BARO0,31.08,92392
3.435,BARO0,31.09,92372
3.445,BARO0,31.08,92307
3.455,BARO0,31.08,92275
3.465,BARO0,31.09,92227
3.475,BARO0,31.09,92181
3.485,BARO0,31.08,92189
3.495,BARO0,31.08,92132
3.505,BARO0,31.08,92099
3.515,BARO0,31.08,92079
3.525,BARO0,31.08,92045
3.535,BARO0,31.08,92002
3.545,BARO0,31.09,91944
3.555,BARO0,31.09,91939
3.565,BARO0,31.09,91899
3.575,BARO0,31.07,91849
3.585,BARO0,31.09,91814
3.595,BARO0,31.08,91800
3.605,BARO0,31.07,91749
3.615,BARO0,31.08,91738
3.625,BARO0,31.08,91697
3.635,BARO0,31.08,91667
3.645,BARO0,31.07,91630
3.655,BARO0,31.1,91582
3.665,BARO0,31.07,91536
3.675,BARO0,31.07,91496
3.685,BARO0,31.07,91481
3.695,BARO0,31.09,91436
3.705,BARO0,31.08,91387
3.715,BARO0,31.08,91374
3.725,BARO0,31.08,91307
3.735,BARO0,31.08,91318
3.745,BARO0,31.09,91215
3.755,BARO0,31.07,91246
3.765,BARO0,31.08,91181
3.775,BARO0,31.09,91150
3.785,BARO0,31.08,91148
3.795,BARO0,31.08,91119
3.805,BARO0,31.07,91057
3.815,BARO0,31.08,91001
3.825,BARO0,31.08,90983
3.835,BARO0,31.08,90969
3.845,BARO0,31.08,90910
3.855,BARO0,31.06,90898
3.865,BARO0,31.07,90870
3.875,BARO0,31.08,90811
3.885,BARO0,31.07,90819
3.895,BARO0,31.07,90763
3.905,BARO0,31.06,90710
3.915,BARO0,31.07,90683
3.925,BARO0,31.08,90644
3.935,BARO0,31.08,90627
3.945,BARO0,31.06,90595
3.955,BARO0,31.08,90546
3.965,BARO0,31.07,90490
3.975,BARO0,31.06,90484
3.985,BARO0,31.1,90456
3.995,BARO0,31.07,90447
4.005,BARO0,31.1,90384
4.015,BARO0,31.08,90330
4.025,BARO0,31.08,90299
4.035,BARO0,31.07,90245
4.045,BARO0,31.08,90221
4.055,BARO0,31.09,90182
4.065,BARO0,31.07,90168
4.075,BARO0,31.08,90130
4.085,BARO0,31.09,90097
4.095,BARO0,31.08,90064
4.105,BARO0,31.08,90030
4.115,BARO0,31.07,89998
4.125,BARO0,31.07,89947
4.135,BARO0,31.08,89946
4.145,BARO0,31.08,89886
4.155,BARO0,31.1,89881
4.165,BARO0,31.07,89794
4.175,BARO0,31.08,89786
4.185,BARO0,31.07,89785
4.195,BARO0,31.06,89735
4.205,BARO0,31.09,89702
4.215,BARO0,31.08,89692
4.225,BARO0,31.07,89642
4.235,BARO0,31.08,89624
4.245,BARO0,31.08,89580
4.255,BARO0,31.08,89547
4.265,BARO0,31.06,89502
4.275,BARO0,31.08,89432
4.285,BARO0,31.09,89429
4.295,BARO0,31.08,89377
4.305,BARO0,31.07,89360
4.315,BARO0,31.07,89332
4.325,BARO0,31.07,89288
4.335,BARO0,31.08,89260
4.345,BARO0,31.07,89237
4.355,BARO0,31.09,89180
4.365,BARO0,31.09,89182
4.375,BARO0,31.05,89146
4.385,BARO0,31.08,89113
4.395,BARO0,31.08,89113
4.405,BARO0,31.08,89062
4.415,BARO0,31.07,89007
4.425,BARO0,31.07,88976
4.435,BARO0,31.07,88971
4.445,BARO0,31.07,88924
4.455,BARO0,31.07,88911
4.465,BARO0,31.07,88868
4.475,BARO0,31.08,88824
4.485,BARO0,31.07,88821
4.495,BARO0,31.08,88789
4.505,BARO0,31.09,88730
4.515,BARO0,31.07,88699
4.525,BARO0,31.07,88678
4.535,BARO0,31.07,88637
4.545,BARO0,31.08,88592
4.555,BARO0,31.09,88590
4.565,BARO0,31.05,88520
4.575,BARO0,31.08,88518
4.585,BARO0,31.08,88481
4.595,BARO0,31.07,88455
4.605,BARO0,31.08,88423
4.615,BARO0,31.07,88394
4.625,BARO0,31.07,88337
4.635,BARO0,31.07,88339
4.645,BARO0,31.05,88292
4.655,BARO0,31.08,88237
4.665,BARO0,31.05,88263
4.675,BARO0,31.06,88164
4.685,BARO0,31.06,88176
4.695,BARO0,31.06,88153
4.705,BARO0,31.08,88116
4.715,BARO0,31.06,88046
4.725,BARO0,31.07,88030
4.735,BARO0,31.07,87996
4.745,BARO0,31.08,88027
4.755,BARO0,31.07,87967
4.765,BARO0,31.06,87900
