ts,id,T,P
1.195,BARO0,31.17,100052
1.205,BARO0,31.17,100060
1.215,BARO0,31.17,100070
1.225,BARO0,31.15,100069
1.235,BARO0,31.16,100068
1.245,BARO0,31.14,100066
1.255,BARO0,31.14,100056
1.265,BARO0,31.17,100056
1.275,BARO0,31.17,100063
1.285,BARO0,31.15,100045
1.295,BARO0,31.15,100060
1.305,BARO0,31.16,100060
1.315,BARO0,31.16,100065
1.325,BARO0,31.16,100064
1.335,BARO0,31.16,100059
1.345,BARO0,31.16,100060
1.355,BARO0,31.17,100056
1.365,BARO0,31.15,100070
1.375,BARO0,31.13,100084
1.385,BARO0,31.17,100079
1.395,BARO0,31.14,100073
1.405,BARO0,31.15,100076
1.415,BARO0,31.16,100065
1.425,BARO0,31.15,100073
1.435,BARO0,31.16,100077
1.445,BARO0,31.16,100059
1.455,BARO0,31.17,100081
1.465,BARO0,31.16,100071
1.475,BARO0,31.14,100068
1.485,BARO0,31.15,100059
1.495,BARO0,31.14,100068
1.505,BARO0,31.15,100081
1.515,BARO0,31.15,100063
1.525,BARO0,31.16,100071
1.535,BARO0,31.15,100087
1.545,BARO0,31.16,100086
1.555,BARO0,31.16,100067
1.565,BARO0,31.14,100066
1.575,BARO0,31.15,100076
1.585,BARO0,31.18,100082
1.595,BARO0,31.15,100070
1.605,BARO0,31.15,100067
1.615,BARO0,31.16,100051
1.625,BARO0,31.16,100063
1.635,BARO0,31.16,100066
1.645,BARO0,31.16,100062
1.655,BARO0,31.16,100072
1.665,BARO0,31.15,100072
1.675,BARO0,31.16,100061
1.685,BARO0,31.16,100065
1.695,BARO0,31.17,100086
1.705,BARO0,31.16,100059
1.715,BARO0,31.15,100067
1.725,BARO0,31.15,100045
1.735,BARO0,31.15,100073
1.745,BARO0,31.15,100073
1.755,BARO0,31.17,100062
1.765,BARO0,31.15,100047
1.775,BARO0,31.16,100057
1.785,BARO0,31.13,100079
1.795,BARO0,31.16,100073
1.805,BARO0,31.15,100069
1.815,BARO0,31.14,100069
1.825,BARO0,31.15,100062
1.835,BARO0,31.15,100065
1.845,BARO0,31.16,100073
1.855,BARO0,31.14,100066
1.865,BARO0,31.15,100073
1.875,BARO0,31.15,100067
1.885,BARO0,31.14,100066
1.895,BARO0,31.15,100059
1.905,BARO0,31.14,100058
1.915,BARO0,31.14,100072
1.925,BARO0,31.14,100065
1.935,BARO0,31.14,100060
1.945,BARO0,31.14,100075
1.955,BARO0,31.14,100087
1.965,BARO0,31.14,100060
1.975,BARO0,31.13,100059
1.985,BARO0,31.11,100069
1.995,BARO0,31.15,100054
2.005,BARO0,31.16,100073
2.015,BARO0,31.14,100075
