ts,id,T,P
1.195,BARO0,39.13,99519
1.205,BARO0,39.13,99529
1.215,BARO0,39.11,99486
1.225,BARO0,39.12,99501
1.235,BARO0,39.12,99482
1.245,BARO0,39.12,99472
1.255,BARO0,39.11,99453
1.265,BARO0,39.13,99439
1.275,BARO0,39.14,99445
1.285,BARO0,39.11,99440
1.295,BARO0,39.12,99435
1.305,BARO0,39.11,99415
1.315,BARO0,39.12,99399
1.325,BARO0,39.12,99400
1.335,BARO0,39.11,99350
1.345,BARO0,39.12,99363
1.355,BARO0,39.11,99372
1.365,BARO0,39.1,99353
1.375,BARO0,39.11,99364
1.385,BARO0,39.11,99314
1.395,BARO0,39.1,99343
1.405,BARO0,39.14,99322
1.415,BARO0,39.1,99314
1.425,BARO0,39.11,99286
1.435,BARO0,39.1,99262
1.445,BARO0,39.1,99266
1.455,BARO0,39.1,99245
1.465,BARO0,39.1,99219
1.475,BARO0,39.06,99243
1.485,BARO0,39.11,99202
1.495,BARO0,39.09,99202
1.505,BARO0,39.1,99186
1.515,BARO0,39.1,99191
1.525,BARO0,39.08,99156
1.535,BARO0,39.08,99140
1.545,BARO0,39.09,99120
1.555,BARO0,39.07,99115
1.565,BARO0,39.12,99115
1.575,BARO0,39.09,99081
1.585,BARO0,39.1,99074
1.595,BARO0,39.09,99054
1.605,BARO0,39.09,99052
1.615,BARO0,39.09,99032
1.625,BARO0,39.08,99021
1.635,BARO0,39.09,99011
1.645,BARO0,39.08,98983
1.655,BARO0,39.09,98995
1.665,BARO0,39.06,98966
1.675,BARO0,39.07,98969
1.685,BARO0,39.07,98907
1.695,BARO0,39.05,98913
1.705,BARO0,39.07,98890
1.715,BARO0,39.08,98895
1.725,BARO0,39.07,98887
1.735,BARO0,39.06,98883
1.745,BARO0,39.08,98859
1.755,BARO0,39.06,98861
1.765,BARO0,39.06,98801
1.775,BARO0,39.05,98798
1.785,BARO0,39.07,98791
1.795,BARO0,39.05,98784
1.805,BARO0,39.05,98778
1.815,BARO0,39.05,98761
1.825,BARO0,39.05,98755
1.835,BARO0,39.06,98707
1.845,BARO0,39.06,98690
1.855,BARO0,39.05,98689
1.865,BARO0,39.06,98681
1.875,BARO0,39.05,98624
1.885,BARO0,39.04,98626
1.895,BARO0,39.04,98606
1.905,BARO0,39.04,98615
1.915,BARO0,39.03,98592
1.925,BARO0,39.04,98563
1.935,BARO0,39.04,98542
1.945,BARO0,39.04,98554
1.955,BARO0,39.03,98527
1.965,BARO0,39.05,98489
1.975,BARO0,39.04,98497
1.985,BARO0,39.04,98458
1.995,BARO0,39.05,98449
2.005,BARO0,39.03,98462
2.015,BARO0,39.01,98388
2.025,BARO0,39.02,98443
2.035,BARO0,39.02,98417
2.045,BARO0,39.02,98357
2.055,BARO0,39.03,98365
2.065,BARO0,39.02,98336
2.075,BARO0,39.02,98322
2.085,BARO0,39.02,98300
2.095,BARO0,39.02,98288
2.105,BARO0,39,98258
2.115,BARO0,39.01,98244
2.125,BARO0,39,98224
2.135,BARO0,38.99,98245
2.145,BARO0,38.99,98175
2.155,BARO0,39,98163
2.165,BARO0,39,98149
2.175,BARO0,39,98136
2.185,BARO0,38.98,98142
2.195,BARO0,38.98,98115
2.205,BARO0,38.99,98076
2.215,BARO0,38.98,98076
2.225,BARO0,38.97,98073
2.235,BARO0,38.98,98020
2.245,BARO0,38.97,98017
2.255,BARO0,38.98,97990
2.265,BARO0,38.97,97988
2.275,BARO0,38.98,97987
2.285,BARO0,38.98,97954
2.295,BARO0,38.96,97899
2.305,BARO0,38.96,97898
2.315,BARO0,38.95,97865
2.325,BARO0,38.95,97877
2.335,BARO0,38.94,97833
2.345,BARO0,38.95,97831
2.355,BARO0,38.94,97822
2.365,BARO0,38.95,97779
2.375,BARO0,38.93,97747
2.385,BARO0,38.95,97715
2.395,BARO0,38.93,97700
2.405,BARO0,38.92,97670
2.415,BARO0,38.93,97647
2.425,BARO0,38.93,97646
2.435,BARO0,38.93,97599
2.445,BARO0,38.92,97576
2.455,BARO0,38.91,97587
2.465,BARO0,38.91,97502
2.475,BARO0,38.92,97516
2.485,BARO0,38.9,97531
2.495,BARO0,38.91,97505
2.505,BARO0,38.92,97445
2.515,BARO0,38.91,97422
2.525,BARO0,38.89,97423
2.535,BARO0,38.9,97388
2.545,BARO0,38.89,97355
2.555,BARO0,38.89,97341
2.565,BARO0,38.86,97302
2.575,BARO0,38.9,97331
2.585,BARO0,38.88,97258
2.595,BARO0,38.9,97274
2.605,BARO0,38.88,97252
2.615,BARO0,38.88,97199
2.625,BARO0,38.86,97205
2.635,BARO0,38.87,97146
2.645,BARO0,38.87,97160
2.655,BARO0,38.87,97170
2.665,BARO0,38.87,97156
2.675,BARO0,38.89,97076
2.685,BARO0,38.85,97057
2.695,BARO0,38.87,97042
2.705,BARO0,38.84,97025
2.715,BARO0,38.86,96986
2.725,BARO0,38.84,96947
2.735,BARO0,38.85,96949
2.745,BARO0,38.85,96919
2.755,BARO0,38.84,96891
2.765,BARO0,38.83,96888
2.775,BARO0,38.83,96796
2.785,BARO0,38.82,96796
2.795,BARO0,38.84,96788
2.805,BARO0,38.83,96793
2.815,BARO0,38.84,96740
2.825,BARO0,38.83,96751
2.835,BARO0,38.82,96693
2.845,BARO0,38.82,96658
2.855,BARO0,38.81,96653
2.865,BARO0,38.82,96607
2.875,BARO0,38.8,96643
2.885,BARO0,38.82,96606
2.895,BARO0,38.8,96528
2.905,BARO0,38.83,96508
2.915,BARO0,38.81,96484
2.925,BARO0,38.8,96476
2.935,BARO0,38.8,96420
2.945,BARO0,38.79,96423
2.955,BARO0,38.8,96417
2.965,BARO0,38.77,96344
2.975,BARO0,38.79,96281
2.985,BARO0,38.77,96324
2.995,BARO0,38.8,96296
3.005,BARO0,38.8,96255
3.015,BARO0,38.77,96208
3.025,BARO0,38.79,96216
3.035,BARO0,38.78,96190
3.045,BARO0,38.78,96138
3.055,BARO0,38.79,96090
3.065,BARO0,38.77,96112
3.075,BARO0,38.76,96065
3.085,BARO0,38.75,96034
3.095,BARO0,38.79,96007
3.105,BARO0,38.75,95983
3.115,BARO0,38.76,95944
3.125,BARO0,38.75,95908
3.135,BARO0,38.76,95905
3.145,BARO0,38.76,95890
3.155,BARO0,38.75,95857
3.165,BARO0,38.75,95815
3.175,BARO0,38.75,95784
3.185,BARO0,38.74,95781
3.195,BARO0,38.74,95687
3.205,BARO0,38.76,95668
3.215,BARO0,38.74,95675
3.225,BARO0,38.74,95637
3.235,BARO0,38.74,95613
3.245,BARO0,38.74,95595
3.255,BARO0,38.74,95543
3.265,BARO0,38.72,95534
3.275,BARO0,38.73,95500
3.285,BARO0,38.73,95495
3.295,BARO0,38.72,95449
3.305,BARO0,38.73,95453
3.315,BARO0,38.74,95359
3.325,BARO0,38.73,95343
3.335,BARO0,38.72,95291
3.345,BARO0,38.72,95288
3.355,BARO0,38.72,95273
3.365,BARO0,38.72,95260
3.375,BARO0,38.73,95173
3.385,BARO0,38.72,95137
3.395,BARO0,38.72,95133
3.405,BARO0,38.71,95137
3.415,BARO0,38.71,95100
3.425,BARO0,38.7,95054
3.435,BARO0,38.72,95007
3.445,BARO0,38.71,95025
3.455,BARO0,38.72,94924
3.465,BARO0,38.71,94962
3.475,BARO0,38.7,94892
3.485,BARO0,38.71,94840
3.495,BARO0,38.67,94797
3.505,BARO0,38.72,94841
3.515,BARO0,38.69,94816
3.525,BARO0,38.71,94730
3.535,BARO0,38.71,94754
3.545,BARO0,38.71,94690
3.555,BARO0,38.7,94679
3.565,BARO0,38.71,94581
3.575,BARO0,38.7,94573
3.585,BARO0,38.7,94550
3.595,BARO0,38.71,94502
3.605,BARO0,38.71,94488
3.615,BARO0,38.71,94439
3.625,BARO0,38.69,94454
3.635,BARO0,38.7,94388
3.645,BARO0,38.69,94387
3.655,BARO0,38.69,94334
3.665,BARO0,38.69,94318
3.675,BARO0,38.71,94300
3.685,BARO0,38.7,94329
3.695,BARO0,38.68,94226
3.705,BARO0,38.7,94149
3.715,BARO0,38.69,94146
3.725,BARO0,38.69,94114
3.735,BARO0,38.7,94081
3.745,BARO0,38.69,94036
3.755,BARO0,38.69,94075
3.765,BARO0,38.7,93958
3.775,BARO0,38.69,93965
3.785,BARO0,38.71,93919
3.795,BARO0,38.7,93881
3.805,BARO0,38.7,93882
3.815,BARO0,38.69,93845
3.825,BARO0,38.69,93783
3.835,BARO0,38.69,93762
3.845,BARO0,38.68,93725
3.855,BARO0,38.68,93784
3.865,BARO0,38.68,93729
3.875,BARO0,38.7,93635
3.885,BARO0,38.68,93594
3.895,BARO0,38.7,93610
